Date,Action,Price,Amount,Balance
2020-04-19,BUY,7120.74,1000.0,9000.0
2020-06-29,SELL,9192.56,1290.955715276783,10290.955715276783
2020-07-27,BUY,11029.96,1000.0,9290.955715276783
2020-09-09,SELL,10219.2,926.4947470344409,10217.450462311224
2020-10-13,BUY,11420.56,1000.0,9217.450462311224
2021-04-28,SELL,54846.22,4802.41073992869,14019.861202239914
2021-08-01,BUY,39845.44,1000.0,13019.861202239914
2021-09-23,SELL,44865.26,1125.9822955901604,14145.843497830074
2021-10-11,BUY,57471.35,1000.0,13145.843497830074
2021-11-27,SELL,54721.03,952.1445033046901,14097.988001134763
2022-02-19,BUY,40079.17,1000.0,13097.988001134763
2022-03-07,SELL,37988.0,947.8240193097812,14045.812020444544
2022-03-19,BUY,42201.13,1000.0,13045.812020444544
2022-03-20,SELL,41262.11,977.7489370545292,14023.560957499074
2022-03-27,BUY,46827.76,1000.0,13023.560957499074
2022-04-22,SELL,39709.18,847.983760060272,13871.544717559345
2022-07-28,BUY,23842.93,1000.0,12871.544717559345
2022-08-29,SELL,20285.73,850.8069268332373,13722.351644392582
