Date,Action,Price,Balance
2021-02-19,BUY,55906.0,10000.0
2021-04-28,SELL,54846.22,9810.435373662935
2021-08-01,BUY,39845.44,9810.435373662935
2021-09-23,SELL,44865.26,11046.376542775903
2021-10-11,BUY,57471.35,11046.376542775903
2021-11-27,SELL,54721.03,10517.746706637941
2022-02-19,BUY,40079.17,10517.746706637941
2022-03-07,SELL,37988.0,9968.972957567787
2022-03-19,BUY,42201.13,9968.972957567787
2022-03-20,SELL,41262.11,9747.152712787249
2022-03-27,BUY,46827.76,9747.152712787249
2022-04-22,SELL,39709.18,8265.427207271012
2022-07-28,BUY,23842.93,8265.427207271012
2022-08-29,SELL,20285.73,7032.282721182077
2022-10-31,BUY,20490.74,7032.282721182077
2022-11-14,SELL,16619.46,5703.6857328420865
2022-12-25,BUY,16832.11,5703.6857328420865
2023-01-03,SELL,16675.18,5650.508834517699
2023-01-12,BUY,18846.62,5650.508834517699
2023-03-10,SELL,20150.69,6041.48923608729
2023-03-19,BUY,27972.87,6041.48923608729
2023-05-08,SELL,27668.79,5975.8150293680865
2023-06-25,BUY,30462.66,5975.8150293680865
2023-08-03,SELL,29193.64,5726.87324987251
