Date,Action,Price,Balance
2020-02-19,BUY,258.45,10000.0
2020-03-13,SELL,134.06,5187.07680402399
2020-04-20,BUY,170.2,5187.07680402399
2020-07-13,SELL,239.5,7299.088687213547
2020-07-20,BUY,236.01,7299.088687213547
2020-09-13,SELL,366.42,11332.282855678946
2020-10-21,BUY,390.38,11332.282855678946
2021-06-01,SELL,2634.57,76478.53999458498
2021-08-02,BUY,2606.93,76478.53999458498
2021-09-25,SELL,2921.73,85713.71101578439
2021-10-16,BUY,3829.96,85713.71101578439
2021-12-04,SELL,4117.25,92143.20167305619
2022-03-28,BUY,3332.92,92143.20167305619
2022-04-27,SELL,2888.96,79869.31096617752
2022-07-24,BUY,1597.7,79869.31096617752
2022-09-03,SELL,1557.46,77857.7061134023
