Date,Action,Price,Amount
2022-02-21,BUY,37008.16,10000.0
2022-02-22,SELL,38230.33,10330.243384161762
2022-02-23,BUY,37250.01,10330.243384161762
2022-02-24,SELL,38327.21,10628.974530097536
2022-02-28,BUY,43160.0,10628.974530097536
2022-03-04,STOP_LOSS,39148.66,9641.105422322711
2022-03-16,BUY,41114.0,9641.105422322711
2022-03-20,SELL,41262.11,9675.836757734012
2022-03-26,BUY,44511.27,9675.836757734012
2022-04-05,SELL,45497.55,9890.233791955188
2022-04-10,BUY,42158.85,9890.233791955188
2022-04-11,STOP_LOSS,39530.45,9273.625642094008
2022-04-14,BUY,39942.38,9273.625642094008
2022-04-19,SELL,41493.18,9633.682770531508
2022-05-04,BUY,39690.0,9633.682770531508
2022-05-05,STOP_LOSS,36552.97,8872.25289243525
2022-05-09,BUY,30076.31,8872.25289243525
2022-05-10,SELL,31017.1,9149.777854728634
2022-05-11,BUY,29103.94,9149.777854728634
2022-05-12,SELL,29029.75,9126.453795544816
2022-05-14,BUY,30086.74,9126.453795544816
2022-05-15,SELL,31328.89,9503.245185444019
2022-05-16,BUY,29874.01,9503.245185444019
2022-05-17,SELL,30444.93,9684.861002713737
2022-05-20,BUY,29201.01,9684.861002713737
2022-05-30,SELL,31734.22,10525.030118120514
2022-06-01,BUY,29805.83,10525.030118120514
2022-06-12,STOP_LOSS,26574.53,9383.993957722269
2022-06-13,BUY,22487.41,9383.993957722269
2022-06-16,STOP_LOSS,20401.31,8513.464635083315
2022-06-18,BUY,18970.79,8513.464635083315
2022-06-19,SELL,20574.0,9232.932387222889
2022-06-22,BUY,19987.99,9232.932387222889
2022-06-24,SELL,21237.69,9810.198815928947
2022-07-20,BUY,23223.3,9810.198815928947
2022-07-25,STOP_LOSS,21310.9,9002.345314678802
2022-07-28,BUY,23842.93,9002.345314678802
2022-08-04,STOP_LOSS,22622.98,8541.730316159643
2022-08-08,BUY,23810.0,8541.730316159643
2022-08-17,SELL,23342.66,8374.074194951998
2022-08-19,BUY,20834.39,8374.074194951998
2022-08-21,SELL,21515.61,8647.880475005564
2022-08-24,BUY,21368.08,8647.880475005564
2022-08-26,STOP_LOSS,20241.05,8191.759909575936
2022-09-09,BUY,21360.11,8191.759909575936
2022-09-12,SELL,22395.74,8588.931661741732
2022-09-13,BUY,20173.57,8588.931661741732
2022-09-18,SELL,19416.18,8266.471583962411
2022-09-25,BUY,18807.38,8266.471583962411
2022-09-26,SELL,19227.82,8451.269004589907
2022-09-28,BUY,19412.82,8451.269004589907
2022-10-04,SELL,20337.82,8853.962885707935
2022-10-05,BUY,20158.26,8853.962885707935
2022-10-10,STOP_LOSS,19131.87,8403.149225885027
2022-10-13,BUY,19375.13,8403.149225885027
2022-10-15,SELL,19069.39,8270.547336539143
2022-10-16,BUY,19262.98,8270.547336539143
2022-10-25,SELL,20080.07,8621.364371245754
2022-10-27,BUY,20295.11,8621.364371245754
2022-10-28,SELL,20591.84,8747.41529927126
2022-10-30,BUY,20627.48,8747.41529927126
2022-11-08,STOP_LOSS,18547.23,7865.251764204978
2022-11-12,BUY,16812.08,7865.251764204978
2022-11-21,STOP_LOSS,15781.29,7383.013821843007
2022-11-24,BUY,16598.95,7383.013821843007
2022-12-13,SELL,17774.7,7905.973316331026
2022-12-15,BUY,17356.34,7905.973316331026
2022-12-19,STOP_LOSS,16438.88,7488.061805102215
2022-12-25,BUY,16832.11,7488.061805102215
2022-12-29,SELL,16633.47,7399.693288204125
2023-01-12,BUY,18846.62,7399.693288204125
2023-01-20,SELL,22667.21,8899.760365482693
2023-01-21,BUY,22783.55,8899.760365482693
2023-01-30,SELL,22826.15,8916.400871091766
2023-02-09,BUY,21796.35,8916.400871091766
2023-02-11,SELL,21862.55,8943.48181527124
2023-02-17,BUY,24569.97,8943.48181527124
2023-02-24,STOP_LOSS,23185.29,8439.457577554636
2023-03-03,BUY,22354.34,8439.457577554636
2023-03-05,SELL,22430.24,8468.112184675063
2023-03-06,BUY,22410.0,8468.112184675063
2023-03-09,STOP_LOSS,20362.22,7694.313399778414
2023-03-14,BUY,24670.41,7694.313399778414
2023-03-17,SELL,27395.13,8544.110772689699
2023-03-18,BUY,26907.49,8544.110772689699
2023-04-02,SELL,28171.87,8945.597599546214
2023-04-11,BUY,30200.42,8945.597599546214
2023-04-13,SELL,30373.84,8996.96594262599
2023-04-14,BUY,30466.93,8996.96594262599
2023-04-17,SELL,29430.27,8690.837471064115
2023-05-13,BUY,26775.28,8690.837471064115
2023-05-14,SELL,26917.62,8737.038810718874
2023-05-18,BUY,26821.28,8737.038810718874
2023-05-19,SELL,26880.26,8756.251560783605
2023-05-27,BUY,26854.27,8756.251560783605
2023-05-28,SELL,28065.0,9151.028870022974
2023-05-29,BUY,27736.4,9151.028870022974
2023-06-05,STOP_LOSS,25728.2,8488.466454685002
2023-06-06,BUY,27230.08,8488.466454685002
2023-06-07,SELL,26339.34,8210.794974841898
2023-06-17,BUY,26516.99,8210.794974841898
2023-06-20,SELL,28307.99,8765.365225837273
2023-06-24,BUY,30527.43,8765.365225837273
2023-07-06,SELL,29895.43,8583.898563798275
2023-07-24,BUY,29176.5,8583.898563798275
2023-07-25,SELL,29228.91,8599.31789523723
2023-07-27,BUY,29222.78,8599.31789523723
2023-07-29,SELL,29352.9,8637.607997839661
2023-08-08,BUY,29770.42,8637.607997839661
2023-08-16,SELL,28730.51,8335.887869839
2023-08-17,BUY,26623.41,8335.887869839
2023-08-20,SELL,26189.99,8200.18246919552
2023-08-25,BUY,26060.01,8200.18246919552
2023-08-27,SELL,26101.77,8213.322894694727
2023-08-29,BUY,27716.34,8213.322894694727
2023-08-31,STOP_LOSS,25940.78,7687.162240044648
2023-09-12,BUY,25840.1,7687.162240044648
2023-09-13,SELL,26222.0,7800.773536420167
2023-09-20,BUY,27125.0,7800.773536420167
2023-10-11,SELL,26875.52,7729.026550913583
2023-10-16,BUY,28500.78,7729.026550913583
2023-10-21,SELL,29909.8,8111.133742041975
2023-10-26,BUY,34151.66,8111.133742041975
2023-11-13,SELL,36462.93,8660.068115480026
2023-11-16,BUY,36163.51,8660.068115480026
2023-12-04,SELL,41991.1,10055.599864170632
2023-12-07,BUY,43273.14,10055.599864170632
2023-12-08,SELL,44170.99,10264.237840015361
2023-12-09,BUY,43713.6,10264.237840015361
2023-12-11,STOP_LOSS,41253.4,9686.566864986862
2023-12-15,BUY,41940.3,9686.566864986862
2024-01-02,SELL,44946.91,10380.976032349474
2024-01-03,BUY,42845.23,10380.976032349474
2024-01-12,SELL,42782.73,10365.832899682853
2024-01-22,BUY,39568.02,10365.832899682853
2024-02-05,SELL,42708.7,11188.61261095918
2024-02-11,BUY,48299.99,11188.61261095918
2024-02-14,SELL,51795.17,11998.265263590627
2024-02-15,BUY,51880.0,11998.265263590627
2024-02-26,SELL,54476.47,12598.749762606725
2024-02-27,BUY,57037.34,12598.749762606725
2024-03-04,SELL,68245.71,15074.521754721163
2024-03-06,BUY,66074.04,15074.521754721163
2024-03-13,SELL,73072.41,16671.17122269055
2024-03-14,BUY,71388.94,16671.17122269055
2024-03-16,STOP_LOSS,65300.63,15249.392744584291
2024-04-13,BUY,63924.51,15249.392744584291
2024-04-14,SELL,65661.84,15663.838275679462
2024-04-15,BUY,63419.99,15663.838275679462
2024-04-16,SELL,63793.39,15756.062781109671
2024-04-17,BUY,61277.37,15756.062781109671
2024-04-18,SELL,63470.08,16319.867598789786
2024-05-05,BUY,64012.0,16319.867598789786
2024-05-10,STOP_LOSS,60799.99,15500.965237888879
2024-05-12,BUY,61483.99,15500.965237888879
2024-05-15,SELL,66206.5,16691.575400722857
2024-05-16,BUY,65235.21,16691.575400722857
2024-05-17,SELL,67024.0,17149.268771542986
2024-05-18,BUY,66915.2,17149.268771542986
2024-05-20,SELL,71446.62,18310.597430752634
2024-05-21,BUY,70148.34,18310.597430752634
2024-05-30,SELL,68352.17,17841.748905082677
2024-06-05,BUY,71108.0,17841.748905082677
2024-06-08,SELL,69310.46,17390.72711672072
2024-06-18,BUY,65175.32,17390.72711672072
2024-06-24,STOP_LOSS,60293.3,16088.057983705752
2024-07-04,BUY,57050.01,16088.057983705752
2024-07-06,SELL,58230.13,16420.85089623514
2024-07-12,BUY,57889.1,16420.85089623514
2024-07-15,SELL,64724.14,18359.68174193499
2024-07-16,BUY,65043.99,18359.68174193499
2024-07-18,SELL,63987.92,18061.589495484466
2024-07-27,BUY,67896.5,18061.589495484466
2024-07-31,SELL,64628.0,17192.11455545087
2024-08-02,BUY,61498.33,17192.11455545087
2024-08-04,STOP_LOSS,58161.0,16259.150039677143
2024-08-19,BUY,59438.5,16259.150039677143
2024-08-23,SELL,64037.24,17517.115897723103
2024-08-24,BUY,64157.01,17517.115897723103
2024-08-27,STOP_LOSS,59415.0,16222.380704200803
2024-09-06,BUY,53962.97,16222.380704200803
2024-09-07,SELL,54160.86,16281.870515780009
2024-09-12,BUY,58132.32,16281.870515780009
2024-09-19,SELL,62947.99,17630.65747949875
2024-09-21,BUY,63348.96,17630.65747949875
2024-09-23,SELL,63339.99,17628.161037606238
