Date,Action,Price,Amount
2021-02-22,BUY,1777.58,10000.0
2021-02-23,STOP_LOSS,1577.89,8876.61877383859
2021-02-25,BUY,1481.75,8876.61877383859
2021-03-01,SELL,1569.86,9404.453347932005
2021-03-05,BUY,1528.31,9404.453347932005
2021-03-06,SELL,1650.35,10155.426309295617
2021-03-08,BUY,1833.18,10155.426309295617
2021-03-20,SELL,1806.1,10005.408883589616
2021-03-30,BUY,1840.46,10005.408883589616
2021-04-14,SELL,2432.6,13224.496946535159
2021-04-16,BUY,2422.67,13224.496946535159
2021-04-18,STOP_LOSS,2235.64,12203.566459134698
2021-04-28,BUY,2748.24,12203.566459134698
2021-05-01,SELL,2944.77,13076.258406058454
2021-05-02,BUY,2949.56,13076.258406058454
2021-05-03,SELL,3431.04,15210.799455350223
2021-05-04,BUY,3239.01,15210.799455350223
2021-05-05,SELL,3524.26,16550.36943032364
2021-05-06,BUY,3489.73,16550.36943032364
2021-05-08,SELL,3910.26,18544.772108047706
2021-05-09,BUY,3923.95,18544.772108047706
2021-05-13,STOP_LOSS,3717.91,17571.01738509197
2021-05-19,BUY,2438.92,17571.01738509197
2021-05-20,SELL,2768.62,19946.316464957166
2021-05-21,BUY,2430.98,19946.316464957166
2021-05-22,STOP_LOSS,2294.87,18829.526884604664
2021-05-28,BUY,2412.1,18829.526884604664
2021-05-29,STOP_LOSS,2278.74,17788.4814448091
2021-06-03,BUY,2857.25,17788.4814448091
2021-06-04,STOP_LOSS,2689.51,16744.176649095643
2021-06-14,BUY,2580.77,16744.176649095643
2021-06-16,STOP_LOSS,2367.89,15362.999587575447
2021-06-19,BUY,2164.67,15362.999587575447
2021-06-20,SELL,2243.47,15922.255440662033
2021-06-21,BUY,1885.49,15922.255440662033
2021-06-23,SELL,1968.14,16620.203672777145
2021-06-29,BUY,2165.33,16620.203672777145
2021-07-12,STOP_LOSS,2031.58,15593.59237508398
2021-07-18,BUY,1891.64,15593.59237508398
2021-07-20,STOP_LOSS,1786.03,14723.004265965636
2021-07-22,BUY,2024.56,14723.004265965636
2021-07-27,SELL,2299.49,16722.35008078067
2021-07-28,BUY,2300.9,16722.35008078067
2021-07-29,SELL,2382.92,17318.450369200695
2021-07-30,BUY,2461.81,17318.450369200695
2021-07-31,SELL,2531.05,17805.542997617777
2021-08-01,BUY,2555.69,17805.542997617777
2021-08-07,SELL,3160.31,22017.94254811868
2021-08-08,BUY,3011.85,22017.94254811868
2021-08-12,SELL,3045.96,22267.301586688438
2021-08-13,BUY,3322.32,22267.301586688438
2021-08-16,STOP_LOSS,3146.53,21089.098118652862
2021-09-01,BUY,3826.82,21089.098118652862
2021-09-05,SELL,3950.29,21769.52493379182
2021-09-06,BUY,3926.77,21769.52493379182
2021-09-07,STOP_LOSS,3434.57,19040.829295286807
